10.02275,47.142579;10.432111,47.367067
10.035955,49.862851;10.577369,49.876056
10.062366,46.627576;10.630189,46.970911
10.234033,47.723608;9.3624898,48.093354
10.247238,48.397073;10.392496,48.81964
10.300059,49.202591;10.405701,49.50631
10.392496,48.81964;9.3492845,48.885666
10.405701,49.50631;10.035955,49.862851
10.432111,47.367067;10.234033,47.723608
10.432111,50.153365;10.788652,50.179776
10.577369,49.876056;10.432111,50.153365
10.630189,46.970911;10.02275,47.142579
10.709421,45.729622;11.118782,46.059752
10.788652,50.179776;10.854678,50.655163
10.854678,46.389882;10.062366,46.627576
10.854678,50.655163;11.079166,50.206186
10.920704,45.082567;11.686606,45.188209
100.02289,76.403639;100.48601,76.403639
100.10239,23.382671;97.281203,23.498837
100.16877,25.988121;100.10239,23.382671
100.35865,74.30801;100.42812,74.78271
100.387,35.844375;102.12441,33.889791
100.40033,43.930645;103.87607,43.798655
100.40033,44.590595;100.40033,43.930645
100.42812,74.78271;99.89553,74.898491
100.46091,59.104954;99.617237,59.311893
100.48601,76.403639;100.61337,77.399353
100.49275,60.075975;100.46091,59.104954
100.59942,82.3919;100.65668,82.964464
100.61337,77.399353;102.09536,77.387775
100.65668,82.964464;64.041237,83.164861
100.79033,32.721178;97.470638,32.61776
100.79033,33.900133;100.79033,32.721178
101.24336,8.003342;99.563535,8.080576
101.58126,14.365446;101.24336,8.003342
101.88769,82.277388;100.59942,82.3919
101.91632,83.164861;101.88769,82.277388
102.00274,76.114188;102.709,75.998407
102.09536,77.387775;102.00274,76.114188
102.12441,33.889791;100.79033,33.900133
102.69742,74.273276;100.35865,74.30801
102.70132,72.840794;103.68605,72.850444
102.709,75.998407;102.69742,74.273276
102.75925,71.701601;102.70132,72.840794
103.67635,74.259954;105.64581,74.288917
103.67639,71.76918;102.75925,71.701601
103.68605,72.850444;103.67635,74.259954
103.80173,33.693084;106.30221,35.479107
103.87607,43.798655;104.33803,44.546598
104.04325,67.444108;103.67639,71.76918
104.31316,59.853118;100.49275,60.075975
104.33803,44.546598;107.48379,44.5246
104.36092,59.391485;104.31316,59.853118
104.66801,40.432912;96.484632,40.960872
104.822,39.992946;104.66801,40.432912
104.82255,62.575161;105.04541,63.339244
104.8703,58.754749;104.88622,59.43924
104.88622,59.43924;104.36092,59.391485
105.04541,63.339244;109.2001,60.6172
105.64581,74.288917;105.74235,70.079695
105.74235,70.079695;107.52837,69.896266
