# view point P
-3,-4
# Lines
0,-2;3,-1
1.6888888888889,0.56296296296296;0,-2
1.325,-0.0375;2.3164569706667,-1.177160928
-7,-15;-8,-13
-6,-11;-8,-13
-6,-11;-8,-10
-8,-10;-10,-11
3,-11;3,-14
-10,-11;-12,-10
-14,-12;-12,-10
-14,-15;-14,-12
-11,-17;-14,-15
-9,-17;-11,-17
-7,-15;-9,-17
5,-9;3,-11
7,-10;5,-9
9,-8;7,-10
9,-8;10,-10
10,-10;7,-12
11,-12;7,-12
11,-12;11,-13
11,-13;7,-16
7,-16;5,-16
6,-14;5,-16
6,-14;3,-14
-18,10;-14,8
-14,8;-10,8
-10,8;-8,10
-8,10;-8,15
-10,17;-8,15
-13,16;-10,17
-15,18;-13,16
-18,16;-15,18
-17,13;-18,16
-18,10;-17,13
5,6;7,6
8,8;7,6
6,8;8,8
6,8;7,9
5,10;7,9
3,8;5,10
3,8;3,6
3,6;4,5
4,5;5,6
